0.49,mm,25 mm,25,,1.01,23.5,,
0.5,mm,25 mm,25,,24.5,,,
0.51,mm,25 mm,25,,1.49,23,,
0.52,mm,25 mm,25,,1.48,23,,
0.53,mm,25 mm,25,,1.47,23,,
0.54,mm,25 mm,25,,1.46,23,,
0.55,mm,25 mm,25,,1.45,23,,
0.56,mm,25 mm,25,,1.44,23,,
0.57,mm,25 mm,25,,1.43,23,,
0.58,mm,25 mm,25,,1.42,23,,
0.59,mm,25 mm,25,,1.41,23,,
0.6,mm,25 mm,25,,1.4,23,,
0.61,mm,25 mm,25,,1.39,23,,
0.62,mm,25 mm,25,,1.38,23,,
0.63,mm,25 mm,25,,1.37,23,,
0.64,mm,25 mm,25,,1.36,23,,
0.65,mm,25 mm,25,,1.35,23,,
0.66,mm,25 mm,25,,1.34,23,,
0.67,mm,25 mm,25,,1.33,23,,
0.68,mm,25 mm,25,,1.32,23,,
0.69,mm,25 mm,25,,1.31,23,,
0.7,mm,25 mm,25,,1.3,23,,
0.71,mm,25 mm,25,,1.29,23,,
0.72,mm,25 mm,25,,1.28,23,,
0.73,mm,25 mm,25,,1.27,23,,
0.74,mm,25 mm,25,,1.26,23,,
0.75,mm,25 mm,25,,1.25,23,,
0.76,mm,25 mm,25,,1.24,23,,
0.77,mm,25 mm,25,,1.23,23,,
0.78,mm,25 mm,25,,1.22,23,,
0.79,mm,25 mm,25,,1.21,23,,
0.8,mm,25 mm,25,,1.2,23,,
0.81,mm,25 mm,25,,1.19,23,,
0.82,mm,25 mm,25,,1.18,23,,
0.83,mm,25 mm,25,,1.17,23,,
0.84,mm,25 mm,25,,1.16,23,,
0.85,mm,25 mm,25,,1.15,23,,
0.86,mm,25 mm,25,,1.14,23,,
0.87,mm,25 mm,25,,1.13,23,,
0.88,mm,25 mm,25,,1.12,23,,
0.89,mm,25 mm,25,,1.11,23,,
0.9,mm,25 mm,25,,1.1,23,,
0.91,mm,25 mm,25,,1.09,23,,
0.92,mm,25 mm,25,,1.08,23,,
0.93,mm,25 mm,25,,1.07,23,,
0.94,mm,25 mm,25,,1.06,23,,
0.95,mm,25 mm,25,,1.05,23,,
0.96,mm,25 mm,25,,1.04,23,,
0.97,mm,25 mm,25,,1.03,23,,
0.98,mm,25 mm,25,,1.02,23,,
0.99,mm,25 mm,25,,1.01,23,,
1,mm,25 mm,25,,24,,,
1.1,mm,25 mm,25,,1.4,22.5,,
1.2,mm,25 mm,25,,1.3,22.5,,
1.3,mm,25 mm,25,,1.2,22.5,,
1.4,mm,25 mm,25,,1.1,22.5,,
1.5,mm,25 mm,25,,23.5,,,
1.6,mm,25 mm,25,,1.4,22,,
1.7,mm,25 mm,25,,1.3,22,,
1.8,mm,25 mm,25,,1.2,22,,
1.9,mm,25 mm,25,,1.1,22,,
2,mm,25 mm,25,,23,,,
2.1,mm,25 mm,25,,1.4,21.5,,
2.2,mm,25 mm,25,,1.3,21.5,,
2.3,mm,25 mm,25,,1.2,21.5,,
2.4,mm,25 mm,25,,1.1,21.5,,
2.5,mm,25 mm,25,,22.5,,,
