M,8,1.25,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,8,1.25,60,8,22,2,7.1881,17,7,5,13
M,9,1.25,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,9,1.25,60,9,22,2,8.1881,17,7,5,13
M,10,1.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,10,1.5,60,10,30,2,9.0257,23,9,5,12
M,11,1.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,11,1.5,60,11,30,2,10.0257,23,9,5,12
M,12,1.75,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,12,1.75,60,12,30,2,10.8633,23,9,5,11
M,14,2,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,14,2,60,14,30,2,12.701,23,9,5,10
M,16,2,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,16,2,60,16,30,2,14.701,23,9,5,10
M,18,2.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,18,2.5,60,18,30,2,16.3762,23,9,5,10
M,20,2.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,20,2.5,60,20,30,2,18.3762,23,9,5,10
M,22,2.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,22,2.5,60,22,30,2,20.3762,23,9,5,10
M,24,3,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,24,3,60,24,42,6,22.0514,33,15,5,9
M,27,3,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,27,3,60,27,42,6,25.0514,33,15,5,9
M,30,3.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,30,3.5,60,30,42,6,27.7267,33,15,5,9
M,33,3.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,33,3.5,60,33,42,6,30.7267,33,15,5,9
M,36,4,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,36,4,60,36,42,6,33.4019,33,15,5,8
M,39,4,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,39,4,60,39,42,6,36.4019,33,15,5,8
M,42,4.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,42,4.5,60,42,42,6,39.0772,33,15,6,8
M,45,4.5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,45,4.5,60,45,42,6,42.0772,33,15,6,8
M,48,5,GP,7H,통과 나사 플러그 게이지,미터 보통 나사,48,5,60,48,42,6,44.7524,33,15,6,8
