측정점(g),분동호칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,5 kg,1 kg,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,5 kg,2 kg,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
8500,5 kg,2 kg,1 kg,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,,,
9500,5 kg,2 kg,2 kg´,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,10 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000,10 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,10 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,10 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,10 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,10 kg,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,10 kg,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
17000,10 kg,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
18000,10 kg,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
19000,10 kg,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,20 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,20 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000,20 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,20 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
23500,20 kg,2 kg,1 kg,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,
24000,20 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,,,
25000,20 kg,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26000,20 kg,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
27000,20 kg,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
28000,20 kg,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
29000,20 kg,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,,
30000,20 kg,10 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31000,20 kg,10 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
32000,20 kg,10 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
33000,20 kg,10 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
34000,20 kg,10 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,,
35000,20 kg,10 kg,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
36000,20 kg,10 kg,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
37000,20 kg,10 kg,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
38000,20 kg,10 kg,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
39000,20 kg,10 kg,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,
40000,20 kg(1),20 kg(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
40000,20 kg,10 kg,5 kg,2 kg,2 kg´,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
41000,20 kg(1),20 kg(2),1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000,20 kg(1),20 kg(2),2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
43000,20 kg(1),20 kg(2),2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
44000,20 kg(1),20 kg(2),2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,,
45000,20 kg(1),20 kg(2),5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
46000,20 kg(1),20 kg(2),5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
47000,20 kg(1),20 kg(2),5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
48000,20 kg(1),20 kg(2),5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
49000,20 kg(1),20 kg(2),5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,
50000,20 kg(1),20 kg(2),10 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
51000,20 kg(1),20 kg(2),10 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
52000,20 kg(1),20 kg(2),10 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
53000,20 kg(1),20 kg(2),10 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
54000,20 kg(1),20 kg(2),10 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,
55000,20 kg(1),20 kg(2),10 kg,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
56000,20 kg(1),20 kg(2),10 kg,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
57000,20 kg(1),20 kg(2),10 kg,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,
58000,20 kg(1),20 kg(2),10 kg,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
59000,20 kg(1),20 kg(2),10 kg,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,
60000,20 kg(1),20 kg(2),20 kg(3),,,,,,,,,,,,,,,,,,,,,,,,,,,
61000,20 kg(1),20 kg(2),20 kg(3),1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
62000,20 kg(1),20 kg(2),20 kg(3),2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
63000,20 kg(1),20 kg(2),20 kg(3),2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
64000,20 kg(1),20 kg(2),20 kg(3),2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,,
65000,20 kg(1),20 kg(2),20 kg(3),5 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
66000,20 kg(1),20 kg(2),20 kg(3),5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
67000,20 kg(1),20 kg(2),20 kg(3),5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,
68000,20 kg(1),20 kg(2),20 kg(3),5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
69000,20 kg(1),20 kg(2),20 kg(3),5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,
70000,20 kg(1),20 kg(2),20 kg(3),10 kg,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,20 kg(1),20 kg(2),20 kg(3),10 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
72000,20 kg(1),20 kg(2),20 kg(3),10 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,
73000,20 kg(1),20 kg(2),20 kg(3),10 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
74000,20 kg(1),20 kg(2),20 kg(3),10 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,
75000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,,,,,,,,,,,,,,,,,,,,,,,,,
76000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
77000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,
78000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,
79000,20 kg(1),20 kg(2),20 kg(3),10 kg,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,
80000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),,,,,,,,,,,,,,,,,,,,,,,,,,
81000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),1 kg,,,,,,,,,,,,,,,,,,,,,,,,,
82000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),2 kg,,,,,,,,,,,,,,,,,,,,,,,,,
83000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
84000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,,
85000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,,,,,,,,,,,,,,,,,,,,,,,,,
86000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
87000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,
88000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,
89000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,
90000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,,,,,,,,,,,,,,,,,,,,,,,,,
91000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,,
92000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,,
93000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,
94000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,,
95000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,,,,,,,,,,,,,,,,,,,,,,,,
96000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,,
97000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,2 kg,,,,,,,,,,,,,,,,,,,,,,,
98000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,2 kg,1 kg,,,,,,,,,,,,,,,,,,,,,,
99000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),10 kg,5 kg,2 kg,2 kg´,,,,,,,,,,,,,,,,,,,,,,
100000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),,,,,,,,,,,,,,,,,,,,,,,,,
110000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),10 kg,,,,,,,,,,,,,,,,,,,,,,,,
120000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),,,,,,,,,,,,,,,,,,,,,,,,
130000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),10 kg,,,,,,,,,,,,,,,,,,,,,,,
140000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),,,,,,,,,,,,,,,,,,,,,,,
150000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),10 kg,,,,,,,,,,,,,,,,,,,,,,
160000,20 kg(1),20 kg(2),20 kg(3),20 kg(4),20 kg(5),20 kg(6),20 kg(7),20 kg(8),,,,,,,,,,,,,,,,,,,,,,
